#C=8795,gamma=0.029,epsilon=819,train_percent=0.75
DATA,TARGET,T-12,T0-1,T m norm,P1,P2,P7,P8,P9,P10,P11,P14,P17,T1,T2,T7,T8,T9,T10,T11,T14,T17,E1
8/1/1999,6396.278,4438.973,1181.174,5581.344,1752.507,1353.671,1319.153,1095.545,2831.133,2053.969,2246.179,1655.971,4158.839,292.753,294.265,294.245,295.852,293.563,292.916,292.335,292.828,295.510,6140.883
9/1/1999,6269.184,4811.270,1232.064,5130.926,1804.907,1417.541,1329.411,1133.171,2889.516,2152.722,2267.705,1607.775,4128.918,292.700,294.249,294.227,295.842,293.434,292.816,292.235,292.772,295.500,6094.219
10/1/1999,6734.362,5499.878,938.304,5297.318,1887.717,1534.600,1371.753,1203.848,2995.883,2336.671,2199.180,1546.771,4121.643,292.755,294.267,294.231,295.829,293.648,292.940,292.400,292.840,295.771,6151.654
11/1/1999,6890.400,5700.758,948.154,5598.278,1874.462,1570.750,1416.553,1264.334,2755.545,2220.666,2056.226,1490.282,3883.995,292.757,294.230,294.194,295.766,293.756,292.976,292.480,292.849,295.943,6536.038
12/1/1999,7777.555,6395.414,982.368,5955.955,2133.193,1846.592,1733.323,1537.187,2740.098,2271.433,2086.274,1689.536,3851.490,292.653,294.078,294.093,295.620,293.747,292.893,292.461,292.805,295.953,6919.430
1/1/2000,7727.789,6925.738,1382.054,6493.589,2245.436,1909.127,1932.456,1646.676,2734.729,2184.924,2270.748,1978.859,4098.910,292.358,293.765,293.816,295.335,293.705,292.756,292.274,292.562,295.944,8044.499
2/1/2000,7925.990,7116.250,913.334,7226.131,2181.386,1851.432,1936.508,1616.140,2508.811,2002.304,2165.646,2022.204,3875.992,292.399,293.749,293.803,295.315,293.902,292.847,292.411,292.595,296.143,8267.860
3/1/2000,8248.608,6906.384,1104.970,7677.758,2172.791,1790.594,1988.624,1606.284,2419.435,1866.660,2200.914,2151.024,3802.929,292.389,293.735,293.795,295.327,294.124,293.108,292.576,292.752,296.138,8819.113
4/1/2000,7894.886,7059.053,1403.482,7502.885,1898.910,1531.857,1727.986,1368.785,2291.760,1682.053,2068.302,1988.391,3722.847,292.603,293.981,294.008,295.576,293.977,293.046,292.500,292.765,295.976,8328.066
5/1/2000,7776.346,6263.309,1104.192,7224.965,1781.296,1397.420,1578.957,1238.822,2289.643,1637.403,2072.677,1921.492,3610.820,292.634,294.057,294.087,295.679,294.007,292.919,292.420,292.578,296.168,7743.291
6/1/2000,6834.758,5816.016,1869.523,6893.030,1784.046,1361.397,1498.007,1166.307,2459.810,1727.057,2244.409,1916.731,3890.261,292.688,294.154,294.182,295.794,293.822,292.983,292.460,292.819,295.787,7531.595
7/1/2000,6340.810,5282.064,1332.288,6313.142,1751.153,1342.899,1370.098,1100.217,2730.167,1958.781,2205.404,1735.217,4159.518,292.794,294.257,294.259,295.864,293.823,293.041,292.506,292.888,295.738,6600.609
8/1/2000,5880.125,5482.944,1111.536,5581.344,1701.037,1322.597,1260.990,1049.443,2823.457,2065.453,2134.376,1553.640,4175.535,292.859,294.341,294.294,295.901,293.782,293.064,292.513,292.905,295.712,5873.938
9/1/2000,4931.539,5164.214,1427.587,5130.926,1704.084,1357.733,1241.292,1062.674,2826.784,2139.614,2041.647,1452.471,4000.036,292.755,294.250,294.196,295.801,293.667,292.965,292.401,292.816,295.690,6067.727
